,랭킹,상품명,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
42,43,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,12900,9,42,18,1,팔도명인,3500,육회용,"우둔, 앞다리",120g,,https://cr.shopping.naver.com/adcr.nhn?x=7rX6ksv0EjJEAiMLFG2biP%2F%2F%2Fw%3D%3DsAZh4INUx4K57m31vGCJmTKHSJXyZKnnaOcOIvf99ur1vxAXzF6PXeMif%2BCBZw%2F3%2F6OBCYSb5SPuSNpBhmph1zci30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbS7zqDWY4a0rSiKMPozmlHnybR3rdxkXI61xri2pFnAYa6LNub1UGEGOMAc6p%2FaiylhNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpX8eCY5YTGH0Vci2jeIfsdVMGXcuTJDhKJfiLKW87hKuKsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI89%2FSdrxZvw7jj4VptwfZkqv1utTpCNAFJirsn%2FU%2Bo6vtXfqiCwBtPYYwEdSt6i2JAlqfxWJnJpF5Z%2BsC2MoLy3H%2B6yqdgSP%2F2ZNWm%2B4XZEjBMqENrR7JJ9bM2TOlfIhJwjg%2FJdwf63wcd4d5PO7CC%2BAWjdAu6VvjTOhSrirCLrohKy3%2BDp7KJXbNE%2F%2BMcCmXjbcD7F8FOODTbjXvpsBscRCosg8q7Ayf9YYYyCvUYytX4rk8Dl0rudhWYJoxWlkKSmSZ9A1bDC0jeOD%2Baa0Or6401kd3%2BoWuhf0ldLsB%2Be19WElYx8SsN2Yawyed2DhYNIrJjfIMY1Xh5ilHEqBQ%2BzVaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=83960179568&catId=50004654
43,44,투뿔한우 꽃등심 채끝살 갈비살 업진살 (육회120g 서비스포함),34000,21,90,30,1,소소한형제,3500,구이용,"등심, 채끝, 갈비, 양지",200g,1++등급,https://cr.shopping.naver.com/adcr.nhn?x=RenCy5b7aHxIEo22O%2FScnP%2F%2F%2Fw%3D%3Dsn5sLNbnq1a480qmz3fqgtY33Pre01KieLzsLgvqtB8m%2BujfgJbNMB2WWL70VDrket7vJjpW5Ug6F1n6dJANMsUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA7xRBpFx%2B1inpC9hx8LTYbwNeAubSK6vaBwNhbBGT1kv6uKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJfQvmdtDLjiKse6MC0nBAtf1DWbA6vsf874wkTX7wrnvHvY%2FUzN94OzIr5wG3PfiA%2Fs%2BPj4mk%2FYG5zoBbhfRW60iwvuh5Cv5EXVeZLhDJ8IM90hb73CY08oKrAVl7NWxtUVIIayZizbJljLmrPJLczapmzXYwmFcya%2F7Pfr5QNh8j8zmMnOGOfZgEABO4pXmbIVyvvbQag1nw5B9eXr80HspyFOu%2FYwbiYuuTPQHou%2Bx6W3mlxtkhv8EvniNpM8rvpFauGW4JI6pdZ1SSY4WGyh3RNFDnfirXPopeqz2vhrZ%2FoE1GShjAdhIHjhRA%2BvUBokvlzIqE2mUQN3kYYwBYf%2FM3NFb%2Fd4pDa8%2F%2Fwwpj4uYGruH08DlKshetxY8KUEZb&nvMid=84331873377&catId=50004654
45,46,미트럽 한우 소고기 생고기 우둔 설도 설깃(육회 200g+소스40g) 캠핑 홈파티 안주,14100,96,,64,1,미트럽,3500,육회용,"설도, 우둔",200g,,https://cr.shopping.naver.com/adcr.nhn?x=xhuXB57R7AE8UVz4hnnup%2F%2F%2F%2Fw%3D%3DspKLXuSS0JWzD12Y1O3PH0fk6cJxg8Ik7DGAOr%2BtZBTs2T%2B2I7vM1lywjaE2447yKzPYrOIsrfXXovTbIo7%2BsvtyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6y7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBs4fkrCULoMYmpoju92crkc2nop0wOb1XIEB0qdx%2FGyJSFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDWI2yiDRJhhIipMAo4oa00nChmugpdl22dNAF0K43jG2KIEPy9huh9JNuR6eleqJXk1c4UooCrw%2BrZ%2Bv8d9nY6TqJETJE0w%2BZtMEmaXZfjmrTQXDu8dAqP4GV1VTHHg58e79Lu5HysPYFlwbjqvVzr0ntod0rFUAk%2FamTUJB7o0695DLcxXdvx74F4pqQP1l8nxdvSG9ncZyezo2MNOFX1coXR8esPMW3TuKsNPz3VvU7vx2RhmW8fThtgZkRl1VaxvLP7%2FifJE0P53QmdSHZBbK1ymAvAZKC1Pw5zvkvUdqjlReY4PTh8l%2BiLI3St320t9zAt3NC5xB4d7ZL9AkGptB6GPK9%2BGg91wtG2jx4ZS%2FV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=83166153557&catId=50004654
46,47,[양념장서비스] 대구 찰딱뭉티기 당일도축 한우 생고기 육사시미 육회,14500,332,96,76,1,테이스티포유,4000,육회용,우둔,150g,,https://cr.shopping.naver.com/adcr.nhn?x=GnWwRQDaIchoL74Uwb1yVf%2F%2F%2Fw%3D%3DsGitTf1kxe7caJcPjQEe7RVJdT1NawpPvkHkaV2SzUN82T%2B2I7vM1lywjaE2447yKhIJuP8WxK7pi3M8qnk3VLNyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6y7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBsrbSsmBENRjRPa9C7n7lKNMnQopNBn%2BpPR3erxRxENyiFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFPW%2FWhsws%2BmqKZySCwtxb%2F2ZbYqmuhbKKiMjeUe%2F4FM8%2BtuloNdZKcd%2FJHNp7%2BPf2KIEPy9huh9JNuR6eleqJXkR2DMpfBdFkfx8k6VLlOIYdKX7ZK4cooo5AI43gxFRNqQWfQhshT%2Bev0s58g4w01VeNmzxGstWGZ6%2BmZzVt9qT74%2BwDVjixTquomjUAqH8lXGJj21bx%2FjXernwqwGA4SlIsPzlfHVKrZRw6R72TtpihH20lbiF5FwJU%2BNFymgk0aKfZ4Sa7vav0GRdv29GtuXYHI8kHPJbDqF7q9g2MlLNGI0BYsGQ1agHO9RGbClV2no3XGRyfjwuhLHL6Yy7ErTWHYI5yWxG8bsOV08ctoeaxdHJ%2B%2FIh5rXj%2B80h38qqvBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=82387094053&catId=50004654
47,48,한우 암소 육회 육사시미 400g 덩어리,20000,47,19,12,1,원데이축산,3500,,,,,https://cr.shopping.naver.com/adcr.nhn?x=EAXj86AY5c1KdznLvVbIgv%2F%2F%2Fw%3D%3DsAD1eUBihthZ3aoJmbra9UY2qDoYXNap9ZEQG9ERWOhc2T%2B2I7vM1lywjaE2447yKq2VfArtE2ochey0HFkWfidyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6y7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBsWdo%2BTGZgQ1c7alRGzH6UkMlGWRw0AhlNMVhzp6kk4nyFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDUkKIjcX9MQzVcraf8js9QMO9Ja6M8MlxwC2KlbyB0pnmXDmIOOB6kamF9uF35YumHVNvqBv8qvOQFNeuzEB36TWVwGlh1vSLVzNx3mInn93e6yPKGOKBSTvVlSo%2B2aU5sNIsUQnAizixMPh5nQt4z7HLRgPYUz1zeCHwutKJdCxTukTwfXNH%2BqM53cB8J%2FiCsGqMjK5Lbw72ME7yEw2C%2FJMgRMcs3KzajSOCbGpFQmoaOqZ%2BF7XoSzX0yvdnL1ACObOieYhneVLrCSlJ%2BdiDTHTP0pnXdmBhrox2u%2FZkxeaHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82069936775&catId=50004654
49,50,대정 꽃등심 살치살 안심 생 로스 육회 불고기 스테이크 국거리 1++등급 300g,45500,580,34,12,1,대정한우-집으로,3000,구이용,등심,300g,,https://cr.shopping.naver.com/adcr.nhn?x=goHx9EQPKDedpuPuhcj%2FEf%2F%2F%2Fw%3D%3DsvHuwNFPQaiVJmdriEI3m35L%2BifK86EgLHvO%2BlPUYML2k5X2JRgAMpXMWke7HgHVjWuklU3ulL1yK22D%2BLB4DHsi30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbS7zqDWY4a0rSiKMPozmlHnybR3rdxkXI61xri2pFnAYa6LNub1UGEGOMAc6p%2FaiylhNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpWa6TwFJh6C2OHh%2BoAc9eHbU0SchbgTq4rhtYkDHEhje6sJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8etPfft5WlzghXRSnY45TCERo3JbvUU8pFkRjsszrtQFXfqiCwBtPYYwEdSt6i2JAqbLEwEaWIXpBW7FvJ44gzvZd0r84QgmBkzhBwZ6onzfVWriXbVAXEFKEYzwLMhLE1trYygGIQWHTKjn8ef1CSCmiKSC3LSPt%2BFZNtEqNQ2PHq5LKTpL%2BxCKpvf69Z%2F7HGTOsD2kdmk%2F5lXKlBa5d%2BwxioiD%2BMW8%2Fr86FhroKwn0wpSg6GXXB3FFBp5Htv%2ByJ3%2B1WpPKnxma7xcMPIahaZ9yqczN5tuLpoKEnVv%2F6HeCfwqe9N9bxE2c278POK9EvhmE5WBX%2FjwGE8BqKRV8Q3xvFFUlc8vylip3rP%2FqzIvFofRzbV9LZw93fIA2KYuZ8Bq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=82522088114&catId=50004654
50,51,파파스컷 바로 썬 한우육회 육사시미 육회용 소고기 250g,17500,116,188,24,1,파파스컷,3500,육회용,,250g,,https://cr.shopping.naver.com/adcr.nhn?x=4%2Fs4%2B0ISjfxnUaKMjtJ1sP%2F%2F%2Fw%3D%3Ds%2FV%2FBrEspna2x502h1M7WSJUoOrtVzRVnZA%2FXFULcB1TLYgqJIWtm04rgvWnJ6%2FHsSvu5y0m3ncHDIPEor3blmMi30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbS7zqDWY4a0rSiKMPozmlHnybR3rdxkXI61xri2pFnAYa6LNub1UGEGOMAc6p%2FaiylhNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpXxu2HcyQ1%2B209Whq0RcxpcU0SchbgTq4rhtYkDHEhje6sJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8l3XhgHsRPIDXrkpkp0U1SS3anAzPK%2FSXxqV6YgfobaBXfqiCwBtPYYwEdSt6i2JAL6ndsJM%2FP4zVEGN6mtOVo0gVzWHjQGXugEGeN%2BPg0veevtwgNEGjPmEjTMAt93zWwk1LNoVN2QlamxowbI00SzSNo%2B42DrCP1Sq0Ph2qruN2m5GyCBV8tJ3hxpn%2F5w1aMCpk9FWvDhSIs2apzYgtO3eW0%2Bn1CcjQFzq0%2BxGUAOYJNWDBz9NIZhlPsDZMn0i8uT3LHYsTijPOJ38PlOyCukBy0LZSKaRp%2BTGbR42wBBjhIQrgXF9gJ5ax%2FRXZcGiCzL1GqI6qVvJXh8QjEylkWWhopkeKUdu5q4dSKA0zkoA%3D&nvMid=82969101080&catId=50004654
51,52,당일도축 대구뭉티기 한우육회 육사시미 생고기 소고기 육회,19500,115,273,79,1,새벽장터,3000,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=e0pEnJ6toePyTA6NTrZIef%2F%2F%2Fw%3D%3DsF1DaSioubLDOCPHpaIIf8V4aRkbAhY25UrJ3%2FyXeIiFD3k%2FQ2fAkwBwpp5Gv6FctuJhofWbyPlfNU2lIoMPmbMi30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbS7zqDWY4a0rSiKMPozmlHnybR3rdxkXI61xri2pFnAYa6LNub1UGEGOMAc6p%2FaiylhNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpWy9pldhjBeLFdEvsSTW3i92c2jhV2QG7qnkVzyezkU%2BKsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI80xsE5tylVO%2BAZhJBl25DMyV%2BrlO2SHqZifUYr%2Bl%2B8G7KRyvq%2BfDUs63OSxYfmA1Xt0G7l9oh0%2FWFPJ6%2FBZV%2FTmbaUtR3J78yrvKwg5MIn06Fiy51CL1lTNFnVKZivWFvJOn%2BSdvlQkIxB7yAFGdKy9RoRB7HDGRHOK47byXFCjbxRat%2FV069PBHDZBhj%2Bz4kpXGRO2%2Ftozb63nHINoXR0l1kAT8ofHm%2Bobuwmjsq5yBy%2BTuUSG18FkT1VOQ92%2FB0xdrvf6IWSKQ6A6%2BH45WGlpsozooe%2FihNb5zyRVxzeqGEfGvnudeYdGGBAVVIPiN62qj9GiKhw7SXjk9sGSWq6gN%2BQsjK6V0FLd%2Fybx7qcubNSE3OzZUT76KyqzckASmm&nvMid=83805312682&catId=50004654
52,53,한우 등심 안심 채끝 갈비살 차돌박이 양지 국거리 육회 육사시미 불고기 장조림 소고기,28900,866,101,30,1,조은장터 정읍산외한우마을,0,"구이용, 불고기용, 육회용",등심,200g,,https://cr.shopping.naver.com/adcr.nhn?x=IA%2B6bnHdWdIC0QyMnoXwmf%2F%2F%2Fw%3D%3DsdZ0wlI1%2Fo4kT8ZylETLiz8E8DKOi9zQfZZJhimtyOOq%2BujfgJbNMB2WWL70VDrkek6wX9M10BGtJcT9Qesf4dUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA6hiVYcweWoTo4WucjLq2mNnyYIdpdgd5xvCrii7DHnoauKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ4RiTZooBKA4SPOjSq7WZzXtjZY9AmL%2BFJX9s1PeVWsXHvY%2FUzN94OzIr5wG3PfiAJwBn8sFV91SlgeWxCc2XTDaA2fhOz7gZeiFA6xlq0Myw9M56WaG55Q1sd%2BWVKGPW0obH0xsO7m5IGkkdG%2BB6dliOWWRx%2FnQeEAwJvSCtFrLUU%2Fu%2BlEppx%2BYePOgrODEf3X006QANSDGOjBO2fy1rIrnnMOlWRXtS3EFIaCaiyJ9lUxj%2BGPML2IpELg0Q3I8irg7DOx5N%2FmYQXWoKA25SqqnSEkwzFVIJiTBxuhMou0e0DOk02f5RGBeLaS9Xjy4dPVzPTrxslHIPszD%2FVYe%2B%2FuEjzYbqN9YEIzWeH0knieRFvNEr1wPmQsR3AZqofbtCY7xfdC%2Ba6XiPG%2FpPVn0s4A4SwcLvxUEucVmH%2BcOht40%3D&nvMid=82261112300&catId=50004654
53,54,[Live]2등급 육회 200g + 소스증정,19200,95,,66,1,e경남MALL,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=%2Fvus%2FXsvkZvzyQwBFRQngf%2F%2F%2Fw%3D%3DswRuZ2jDR4UQBRFlw2ycqZmx8i77%2Fc355blso1WuWIFC%2BujfgJbNMB2WWL70VDrkealxo0QB5XhYfOfcedL1aUUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA6KlwzswqWx1rH78PFLPDrbw1eq4nSLxxkk%2BHQx%2BnyOi6uKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJ9crRNRHF3FLVdeY0%2FU9Vev1q0XWYJBw76JUxeBs%2BrvpdrU9gBvTOY8XVxGgpGxxdiGL3WPWg5zRlldZud3cIBtWM%2Bd3YZAYNFcypbbtZAPZ4GqvLsVxc5sXMbnomqRsIsusd8nJT4ntf84v9khja2GwFg2nJMVDRj9o6AiDJsTUoBADA%2BrQTD50UZPWSs%2FVi4FnGQVVKxtRACE4nP8Ki4oOuAKV6RXG1Is03XJLviBfjVQXh5lvbj4F1hGBkpQqgh3lBAdsJgBH24JcDz8lDPPENwh0XeaCiDGg3h67YbyHNjqh%2FZemCCOboDhnweAmG&nvMid=84389706952&catId=50004654
55,56,한우육회 무침 600G 등급무관,35000,252,17,3,1,표고한우,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=4a%2FyZQOjI3b%2Fd2YMQz%2FRbv%2F%2F%2Fw%3D%3DssthCHH9P3nDJF7FhFFBjtOtP6pqFaMVcZDjxNmPUMhO%2BujfgJbNMB2WWL70VDrkeXf2xNgVdTORWC0s%2BsdqH8EgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA6yEctAS5tREkUhjs3D4YszuePYKB6gEwZEVunA8FDWfauKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJyfPiSqtQYUyO7GCg3EcGWQmXFa42V1dr%2B7vbF%2F0IOdjHvY%2FUzN94OzIr5wG3PfiApkq5jae8qcAHtg%2BivZsh4EKJ2VZDQfh%2Be%2BtZQZCSPsloVq1GfNaulr%2B0wS9Ilf2n0ORveCIiClaq%2F4ruoliltuawJWDmB0Fw1DPgxRIxiIpExn0q6BL3p4WLDf6ywaCPfRsW%2BOyVBjRJ%2BmPaleeveQ%2FtRs2MgkAFbAzurpTEm5YFz1ZdW1pRIuLWC1RWMllsSCrZjXWscOywxFkldci0ncvE7s9e7Rgy7hulDk%2B0AjMOEsHC78VBLnFZh%2FnDobeN&nvMid=81190512521&catId=50004654
56,57,한우 암소 육회 육사시미 육전용 생고기 300g 우둔살 홍두깨살 [산지직송],19500,483,331,92,1,세종시 조상구,3500,육회용,기타,300g,,https://cr.shopping.naver.com/adcr.nhn?x=NqKAQxPr39TNjqQlLFBfcP%2F%2F%2Fw%3D%3DsWXegfoD%2Fnncp1UVGKoCO8vq9egoRTQqpuxuqcswLVHe%2BujfgJbNMB2WWL70VDrkerLCs%2F7JXvsJgTzPARx8EYEgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0R2%2B01NoQdRT7PuNJ%2FyDge42ZI8ThWolmqfw9ykCu3a3tOFWMLQAw8OlAJG%2BaghRNNL8wC%2FZbrL9UjW%2FGFBXJhoJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtemXU9ZX2PgbbAywBusKzV%2FKFJVZr3HjXC535ypbhITkmXDmIOOB6kamF9uF35YumA0mVO4uwhTQd3GNUPqXy9nWVwGlh1vSLVzNx3mInn93e6yPKGOKBSTvVlSo%2B2aU5oKtzPXnQUPh7JrFEJn0%2BrqX1B4zR%2BprXgz%2FZ66qkz0S6eB4QqllEUyrT5mD%2FRKaNxSQ%2Fl2x4VuMITC1u%2Fyxivo7pntrxW%2FuPQWpYmEW2abAzi%2Fo0Y57GfCY7Rc5rZi1v5PjnYyvzs3dFhYsnwVcpdlMgRMcs3KzajSOCbGpFQmo0Dv7bajj3Mf9q5CT%2FTu26rVMRbBk12oR0PdMlQ6UYlZhUd1oVVVwYM4L1edMxGkuHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82427348268&catId=50004654
60,61,[마장동 온우]1++ 투뿔 마장동 한우 육회,20900,46,43,30,1,마장동시장 나현,3000,육회용,기타,300~500g,,https://cr.shopping.naver.com/adcr.nhn?x=3Xtj%2B8EpEp9v8yMgtSVrFf%2F%2F%2Fw%3D%3Ds0ISC41M66WQovmYv2iGnJ3LyTP530mVrn0DrJ9WMaSY2T%2B2I7vM1lywjaE2447yKxmtGBX47MchOPE1KG%2BKa%2BtyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6jvdxTOdl%2BW8h3PetdP%2FDt7rkDLpImMNOj7Pjv27q980HzwxMNRaVjIDTesEzEdEPKyvFxus9CCvHHL5wzQKoVd4an%2FzTqhVRN5HiEzJvDPKk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdEyVCYqot4pdHt5SljuNKkp9guHRkm%2B4ajge6M%2B5u%2FJOAbWnbEXzrP9nTOtX6d%2FrCFNrb283P65oKVGpbEX2E%2F%2FRBkKHdmgeBtXz9QaXffcq7%2BM3xNZAoAkfjnF3joqi4Yigy0E1uXqmbgXwdl6PLXvAXsLV0%2FbBmxhAh0KPjNkhywAMc0%2BxneertO1jGP7rHMDXqXVyrzjkIrg8pob9gyN8wHHRy3%2FEdW0%2F6it%2F4a3IBz7DBq7LL2BGyS%2BcuW9Fh2M7xPYq4ISeDpdTVXPj1vPQT%2B36IyfkTlZx1hPYhdTaxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=83101839185&catId=50004654
64,65,(주)성진한우 대구 생고기 뭉티기 뭉텅이 육사시미 우둔살 육회 고기 육회용고기 오드레기,12960,82,60,20,1,성진한우.성진고기마트,3500,육회용,"우둔, 기타",200g,,https://cr.shopping.naver.com/adcr.nhn?x=OBHUgAzoVONs3r9v2Mj5lv%2F%2F%2Fw%3D%3Ds%2B4WoJAAxtQznEnx%2FmDRZiK7jYm6M1kesEoIwcFRuJMC%2BujfgJbNMB2WWL70VDrke%2FlUYwclEfmaKyfGc94dq0UgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4ieXU4VtWtDEXKlllfhP%2FCz1jKdbbJKftSPreZug3Jy6uKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJvpSgE0vYu0KBPjCsff2yI2ePHaYqVh6IwPCvcJrcGBpdrU9gBvTOY8XVxGgpGxxdvgBrEgvP2HU1mqNDw5Y5sl3v6jfJKRlPv1RIbheMk2nYtcwMmBLjKycy49TYwVUgZGHiOw2D73HuE8XDfyhU1NtAWuXQ9vp1FqI8ApVDNHgQ%2F%2B1E1E9hK17T4eDpVlR3NlbSLKrTb04aIov2MONNFHW35o66KBPq0mRUxGHRPpr24UY48uu1Rd87LyiVDTVUp6bX%2BSXpeGaW8qcHSvn3pCgEAMD6tBMPnRRk9ZKz9WLUbRQEx5YZG%2FaxbIXnsktI1GEBRkEr7XzJA8fK6fSvKnAH%2BDFccZXDZ%2B%2B43pxdCmoGAT%2BXITFny6Jaf%2BML0RlKYWKfcDljNB6AXV7gtPdO%2FmhopkeKUdu5q4dSKA0zkoA%3D&nvMid=83149373336&catId=50004654
65,66,국가대표돼지 횡성 한우1+등급 육회 육사시미 250g,15900,170,80,14,1,국가대표돼지,3500,육회용,기타,250g,,https://cr.shopping.naver.com/adcr.nhn?x=Gd2H%2BMKmDuTclXnqdJbZbf%2F%2F%2Fw%3D%3DsOCA9CFLTrXe72LtYs%2BiAvNd%2B8J88ZEnQ1C9ewLL7VvJSne4PBSgJYzi7Qu4rncBfGIAYkgn7TNfxcprgd9TpX0Pg%2F6PYJW9LpCSumzPJoijqwaShusc4uN1D0982lqsA7YaW8yv65OH5kXhlZ%2B4fcpQHqRpI2eVjush9YDd%2FFzFxb4MuBfuAug5wtMsLdOMxyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF01XfC1VjNVhvcTmp5rz%2FMy0n%2BE7e9dXC9gkxgGEaFQQkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpKIrVz68X5b%2BkswY%2Fp0HP80Z2gsrY9rdXAmnE2bp5VDiveGXV1210MQijqVgA1loD50IJn9fqlAdDLSRRpeJ5Nj6FURihOvVNK6%2BarovFEXamszVkarjmhGGBjbrtZpggLI9hTGiGQ0HCUMOPLzeIJ6D8VZFX7Qr2flHy5lTTQ%2Bj%2F%2BrBNWZHKsAXIkeYVfGyxf9ISLobzOoqwN5FTiIzjorKi7VZTZPy0N33Sw2SHlBkA4rnVKr46S78RylOhLAFShpnxYkL%2F%2BcLJJbBWR46xI7sTSY8pmJ7AJ6W6VhsDY4iLU88X62TRnM2nZSDHzgs5V3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=82794029753&catId=50004654
